Using OSRM walking only — no haversine fallback; tries all mirrors until one succeeds.
Loaded 123 POIs from pois_WF2_0GU.tsv
Total: 123 POIs
Starting: 1353 candidate routes (OSRM=on)
[230s] 190/1353 | routes: 189 | skipped: 0
[231s] 191/1353 | routes: 190 | skipped: 0
[233s] 192/1353 | routes: 191 | skipped: 0
[234s] 193/1353 | routes: 192 | skipped: 0
[235s] 194/1353 | routes: 193 | skipped: 0
[236s] 195/1353 | routes: 194 | skipped: 0
[237s] 196/1353 | routes: 195 | skipped: 0
[238s] 197/1353 | routes: 196 | skipped: 0
[240s] 198/1353 | routes: 197 | skipped: 0
[241s] 199/1353 | routes: 198 | skipped: 0
[242s] 200/1353 | routes: 199 | skipped: 0
[244s] 201/1353 | routes: 200 | skipped: 0
[245s] 202/1353 | routes: 201 | skipped: 0
[246s] 203/1353 | routes: 202 | skipped: 0
[247s] 204/1353 | routes: 203 | skipped: 0
[248s] 205/1353 | routes: 204 | skipped: 0
[249s] 206/1353 | routes: 205 | skipped: 0
[251s] 207/1353 | routes: 206 | skipped: 0
[252s] 208/1353 | routes: 207 | skipped: 0
[253s] 209/1353 | routes: 208 | skipped: 0
[254s] 210/1353 | routes: 209 | skipped: 0
[255s] 211/1353 | routes: 210 | skipped: 0
[257s] 212/1353 | routes: 211 | skipped: 0
[258s] 213/1353 | routes: 212 | skipped: 0
[259s] 214/1353 | routes: 213 | skipped: 0
[260s] 215/1353 | routes: 214 | skipped: 0
[261s] 216/1353 | routes: 215 | skipped: 0
[262s] 217/1353 | routes: 216 | skipped: 0
[264s] 218/1353 | routes: 217 | skipped: 0
[265s] 219/1353 | routes: 218 | skipped: 0
[266s] 220/1353 | routes: 219 | skipped: 0
[267s] 221/1353 | routes: 220 | skipped: 0
[268s] 222/1353 | routes: 221 | skipped: 0
[269s] 223/1353 | routes: 222 | skipped: 0
[270s] 224/1353 | routes: 223 | skipped: 0
[272s] 225/1353 | routes: 224 | skipped: 0
[273s] 226/1353 | routes: 225 | skipped: 0
[274s] 227/1353 | routes: 226 | skipped: 0
[275s] 228/1353 | routes: 227 | skipped: 0
[276s] 229/1353 | routes: 228 | skipped: 0
[278s] 230/1353 | routes: 229 | skipped: 0
[279s] 231/1353 | routes: 230 | skipped: 0
[280s] 232/1353 | routes: 231 | skipped: 0
[281s] 233/1353 | routes: 232 | skipped: 0
[282s] 234/1353 | routes: 233 | skipped: 0
[284s] 235/1353 | routes: 234 | skipped: 0
[285s] 236/1353 | routes: 235 | skipped: 0
[286s] 237/1353 | routes: 236 | skipped: 0
[287s] 238/1353 | routes: 237 | skipped: 0
[289s] 239/1353 | routes: 238 | skipped: 0
[290s] 240/1353 | routes: 239 | skipped: 0
[291s] 241/1353 | routes: 240 | skipped: 0
[292s] 242/1353 | routes: 241 | skipped: 0
[293s] 243/1353 | routes: 242 | skipped: 0
[295s] 244/1353 | routes: 243 | skipped: 0
[296s] 245/1353 | routes: 244 | skipped: 0
[297s] 246/1353 | routes: 245 | skipped: 0
[298s] 247/1353 | routes: 246 | skipped: 0
[299s] 248/1353 | routes: 247 | skipped: 0
[301s] 249/1353 | routes: 248 | skipped: 0
[302s] 250/1353 | routes: 249 | skipped: 0
[303s] 251/1353 | routes: 250 | skipped: 0
[304s] 252/1353 | routes: 251 | skipped: 0
[306s] 253/1353 | routes: 252 | skipped: 0
[307s] 254/1353 | routes: 253 | skipped: 0
[308s] 255/1353 | routes: 254 | skipped: 0
[309s] 256/1353 | routes: 255 | skipped: 0
[311s] 257/1353 | routes: 256 | skipped: 0
[312s] 258/1353 | routes: 257 | skipped: 0
[313s] 259/1353 | routes: 258 | skipped: 0
[314s] 260/1353 | routes: 259 | skipped: 0
[316s] 261/1353 | routes: 260 | skipped: 0
[317s] 262/1353 | routes: 261 | skipped: 0
[318s] 263/1353 | routes: 262 | skipped: 0
[319s] 264/1353 | routes: 263 | skipped: 0
[321s] 265/1353 | routes: 264 | skipped: 0
[322s] 266/1353 | routes: 265 | skipped: 0
