Anchor Postcode,Duration (min),Route Index,Waypoints,Waypoint Count,Distance (m),Duration (sec),Duration (formatted),Polyline
WF2 0GU,10,33,GJH Commercial Vehicle Services Ltd → Alverthorpe Working Mens Club → GJH Commercial Vehicle Services Ltd,1,1943,266,4min,wrtfIvykHT?AtB?L?zAn@@dABV@XCXCREJCbAc@CSGs@CaA@kA?}@?iA?IDsK?Y?W@}C?mA@s@?oC@gDkB]s@Oc@Kc@MGAu@YQMKKn@{DD^i@fDPLt@XF@b@Lb@J~Cl@AfD?nCAr@?lAA|C?V?XErK?H?hA?|@AjAB`AFr@BRcAb@KBSDYBYBWAeACo@A?{A?M@uBU?
WF2 0GU,10,34,Hall Cliffe Primary School → Wrenthorpe Potovens → Hall Cliffe Primary School,1,730,131,2min,ayvfIrpiHYC[YM??iB?u@?e@CoACq@Ee@Mg@Mm@Gi@Ci@CSEkB^MXSNSLUv@~@FKGJw@_AMTORYR_@LDjBF|@Fh@Ll@Lf@Dd@Bp@BnA?d@?t@?hBL?ZXXB
WF2 0GU,10,35,Highfield School → Ossett WMC → Highfield School,1,4350,585,9min,}wvfIbusHDb@Jf@Lv@Pp@Pn@L`@HVBD@J@PBP?V@`@?\?jBAdA?v@BZJVt@|Bb@xBJp@XfBLp@J\Rr@Rf@Td@FLPRPLh@\HHLJVk@NUXa@hA[rA_@RGz@Uh@MdAWTbAHVHJJDP@ZCXG\GZKZMZYTUhBoB`@YlA{@b@UdCuAh@@VPJKTSBC\]`@u@`AeCLm@Pu@ZwAPy@b@kBPq@j@cCJ]XeAJ[XcAT_AjBkGFQ|@{CVmAJe@l@iCVeAJq@H{@Do@Du@?e@?M?}@EgACq@f@M@T?N?OAUg@LHxB?|@?L?d@Et@En@Iz@Kp@WdAm@hCKd@WlA}@zCGPkBjGU~@YbAKZYdAK\k@bCQp@c@jBQx@[vAQt@Ml@aAdCa@t@]\CBURKJWQi@AeCtAc@TmAz@a@XiBnBUT[X[L[J]FYF[BQAKEIKIWUcAeAVi@L{@TSFsA^iAZY`@OTWj@MKIIi@]QMQSGMUe@Sg@Ss@K]Mq@YgBKq@c@yBu@}BKWC[?w@@eA?kB?]Aa@?WCQAQAKCEIWMa@Qo@Qq@Mw@Kg@Ec@
WF2 0GU,10,36,Hill Top Primary Academy → West Ardsley Book Exchange → Hill Top Primary Academy,1,1966,264,4min,clzfIn}rHNTn@bAFHJ@H@D@RZRi@x@}Bn@}Al@eBFOdFcNe@c@o@_@gAe@qBw@qBy@{Aq@QGmEiBk@Sk@SBWDS@S?Q?S@OLaBM`BAN?R?PARERCVTHTHj@RlEhBPFzAp@pBx@pBv@fAd@n@^d@b@eFbNGNm@dBo@|Ay@|BSh@S[EAIAKAGIo@cAOU
WF2 0GU,10,37,Holiday Inn → Shell Select → Holiday Inn,1,739,145,2min,gpsfItwmH|@`@ENGPc@l@KNKPEBEJs@`A]aAEIQm@q@_CYoAG[?K@QJS`@w@@[Ea@BS@CHU@C??RATZIPWj@Kb@q@xBXnAp@~BPl@DHZi@DCHDZRNFDCJQJOb@m@FQDO}@a@
WF2 0GU,10,38,Hong Kong Vegan → Wrenthorpe Academy → Hong Kong Vegan,1,1540,201,3min,wowfIdngHe@Tq@^c@Xu@f@E@eBbAo@`@m@d@s@v@s@~@wBzC~BdBTN\Tj@^|@n@`BpAZXj@z@Z_AXcAb@_BBIHS??IRCHc@~AYbA[~@k@{@[YaBqA}@o@k@_@]UUO_CeBvB{Cr@_Ar@w@l@e@n@a@dBcADAt@g@b@Yp@_@d@U
WF2 0GU,10,39,JB's Cafe & Bistro → Ossett Flushdyke Junior and Infant School → JB's Cafe & Bistro,1,7095,451,7min,{gtfIl}oHGVIz@I?IM?yAWBGDI?GAIGUq@U_@mAqAc@OQAQ?_@LURW\O\Mj@I|@Bx@Dd@X`@RLRAPGLQJUlA{DJa@p@sBt@aBzDkIFMP_@VaADg@?c@A]E[G]Ia@IOGYG]A[AW?W@wD@y@@[@YD]H[Rg@POPMLINEP@RBTLVXJXFVDVDX@\?ZAtDA|@AZA\ETW~@MZa@fAcAxBkAjCkDhHq@zAq@nBy@bDWvAAFW|AQ`BQjBGlAIdCEvCGnEQnLIdCSvC_@|De@vCg@tBs@dCqAvCwL`SwBhDmDxF{AhCiBbD{@lBoB`Fq@xBe@xBg@xCYpCKzAG`BChCD|BRlDXrCj@`Ev@bDr@tCLRLHP@HCVAJ@FBFFFJFVBLFf@@H?PAPEPELIHGDGBk@EEAGEGGEKEMCS?U?]UmAaAmDq@cDm@eE[sCSoDCu@AiA@kCDcBJ}AToCd@_Dh@qBp@cCvBuFx@kBbBkDrAgChHiL`H}KnCoErAyCr@uBj@wBf@uCd@uDRuCHoCNkLDwBFwFAi@BoANgCDu@?c@A[ESCOM_@Oe@G[Gc@Ee@Cy@H}@Lk@N]V]TS^MP?P@b@NlApATRz@XAf@EzA\EHLH?H{@FW
WF2 0GU,10,40,Jerry Clay Academy → Hall Cliffe Primary School → Jerry Clay Academy,1,996,142,2min,_iwfIlwiHDKDKRc@`@y@Pe@JU^y@`BoD\w@Zu@LYFIFGXSDCRQFEf@g@Lf@Dd@Bp@BnA?d@?t@?hBL?ZXXB@?[C[YM??iB?u@?e@CoACq@Ee@Mg@g@f@GDSPEBYRGFGHMX[t@]v@aBnD_@x@KTQd@a@x@Sb@EJEJ
WF2 0GU,10,41,Kirkhamgate Fisheries → Village Stores → Kirkhamgate Fisheries,1,578,111,1min,{cwfIn`nHAQEWKWq@j@_@V]TQHc@TIDOFqBdA_@wBm@\OH|@g@^vBpBeANGHEb@UPI\U^Wp@k@JVDV@P
WF2 0GU,10,42,Kirkhamgate Village Hall → The Star Inn → Kirkhamgate Village Hall,1,531,98,1min,iswfIdbnHTrBNl@Lb@yAzAi@l@ORs@aAKMAu@F]?IOs@Nr@?HG\@t@~@nANSh@m@xA{AMc@Om@UsB
