Postcode	Duration (min)	Route Index	Name	Description	Waypoint Count	Waypoint 1	Waypoint 2	Waypoint 3	Distance (m)	Duration (sec)	Polyline	Actual Duration (min)	Timing source
WF2 0GU	60	1			2	Cardigan House (WF2 0GU)	West Yorkshire Police Learning & Development Centre (WF2 0GU)		17763	13322	qvyfIzhlH\|AtAxDbCzFbCdFbAjBb@x@bAjBnCrD|CfEjDpDxFdFfMjJzBxA`CrAtBfAtDrBtG`Dn@R~FjBlGhAdE\xDDvEOnE[hOcClImApBYzRuF^OZSPMNQNUj@{ARg@POPMLINEP@RBTLVXJXFVDVDX@\?ZAtDA|@AZA\ETW~@MZk@Va@@OCWOMOMUIOi@w@a@So@E{Lh@qAFsFj@sInAeOdCoE`@cFJwDImE]eGaAaGiBs@W_HeDkDqBuBiAcCcB}B_BqFsDiF{DkFqEoD{DaDeE}BqDmAkBc@y@wAuCoEsJuBoF_AqCo@wA_AuCqA}DOc@}BiHwAmEQa@Uu@K]MYKWGMGKGIGIGGEEMIOKc@SEAc@e@OUGQEOEQAMAOAQ?S@O@O?GDQFWFWFOFMrAuBHKFGFGHGHGJCHAH?H?H@JD^\JNFJDLDLBPBN@N@P?P?P?P?BCvA?P@P@RDRThAf@~Br@|CnB|IrA`Gj@fCR|@vAlGtAxDbCzFbCdFbAjBb@x@bAjBnCrD|CfEjDpDxFdFfMjJzBxA`CrAtBfAtDrBtG`Dn@R~FjBlGhAdE\xDDvEOnE[hOcClImApBYzRuF^OZSPMNQNUj@{ARg@POPMLINEP@RBTLVXJXFVDVDX@\?ZAtDA|@AZA\ETW~@MZk@Va@@OCWOMOMUIOi@w@a@So@E{Lh@qAFsFj@sInAeOdCoE`@cFJwDImE]eGaAaGiBs@W_HeDkDqBuBiAcCcB}B_BqFsDiF{DkFqEoD{DaDeE}BqDmAkBc@y@wAuCoEsJuBoF_AqCo@wA_AuCqA}DOc@}BiHwAmEQa@Uu@K]MYKWGMGKGIGIGGEEMIOKc@SEAc@e@OUGQEOEQAMAOAQ?S@O@O?GDQFWFWFOFMrAuBHKFGFGHGHGJCHAH?H?H@JD^\JNFJDLDLBPBN@N@P?P?P?P?BCvA?P@P@RDRThAf@~Br@|CnB|INn@nBxIR|@x@nD	222	OSRM
WF2 0GU	30	1			2	Silkwood Farm (WF2 0GU)	Total Fitness (WF2 0GU)		2258	1694	oetfIremH@E?C?EA_@LEBABA@CTgALo@VR\ZPaA??Q`A][WSMn@oB_BlA_GXq@J[HWn@z@zB`CLJD@D?LEDAJEF?B?HF@BDHDN@RAPEPGLIDK@OFEHEJ{AbHKd@SdAI`@Gd@Kx@CXKfAA`@?LBNBP??FTBBLDH@F@D?NIDEHILOLUFIPa@Pg@DMDMFWPo@@KNq@ViAD]DIDIHIAOAECC_BqA~@v@^XBB@D@NCNGNABEHGLWhAOp@AJQn@GVELELQf@Q`@GHMTMNIHEDOHEBEFEDIPANENGHWFECIIEMCOAQBQDOBCJ[BMBMBM@a@JgABYJy@Fe@Ha@ReAJe@zAcH@K?G?EAa@CQEUAMEIKU{BaCo@{@IVKZYp@mA~FnB~AUfAABC@C@MD@^?D?BAD	28	OSRM
WF2 0GU	10	1			2	Main Street Fisheries (WF2 0GU)	China And Thai Express (WF2 0GU)		978	734	m}{fIzjkHNLpBd@TJnAl@^N\NPJVNj@b@ZXf@`@ZNJ@Be@a@M??`@LCd@ZDZ@L?n@Al@AUp@EPw@pCa@lC[yBKo@CQKy@]cCg@a@[Yk@c@WOQK]O_@OoAm@UKqBe@OM	12	OSRM
WF2 0GU	20	1			2	BP Manor Service Station (WF2 0GU)	East Ardsley Express (WF2 0GU)		1533	1150	mo{fI`zkHB?d@]Ky@]cCZNJ@ZDZ@L?n@Al@AR_@f@dAOZGN_AMw@pCa@lCg@iDCQKy@]cCg@a@[Yk@c@WOQK]O_@OoAm@UKi@MgAW@TJrAJpAKqAKsAAUpBd@TJnAl@^N\NPJVNj@b@ZXf@`@ZNJ@ZDZ@L?n@Al@AUp@EPw@pCa@lCg@iDCQe@\C?	19	OSRM
WF2 0GU	10	1			2	Main Street Fisheries (WF2 0GU)	China And Thai Express (WF2 0GU)		876	657	uz{fI`lkHh@LTJnAl@^N\NPJVNj@b@ZXf@`@ZNJ@Be@a@M??`@LCd@ZDZ@L?n@Al@AUp@EPw@pCa@lC[yBKo@CQKy@]cCg@a@[Yk@c@WOQK]O_@OoAm@UKi@M	10	OSRM
WF2 0GU	10	1			2	Main Street Fisheries (WF2 0GU)	China And Thai Express (WF2 0GU)		980	735	y|{fIjlkHAKAUpBd@TJnAl@^N\NPJVNj@b@ZXf@`@ZNJ@Be@a@M??`@LCd@ZDZ@L?n@Al@AUp@EPw@pCa@lC[yBKo@CQKy@]cCg@a@[Yk@c@WOQK]O_@OoAm@UKqBe@@T@J	12	OSRM
WF2 0GU	10	1			2	BP Manor Service Station (WF2 0GU)	Main Street Fisheries (WF2 0GU)		831	623	_m{fIv`lHFw@`@mCv@qCDQTq@R_@f@dAOZGN_AMw@pCa@lCg@iDCQKy@]cCZNJ@Be@a@M??`@LCd@ZDZ@L?n@Al@AUp@EPw@pCa@lCGv@	10	OSRM
WF2 0GU	20	1			2	Toyota Vantage (WF2 0GU)	Total Fitness (WF2 0GU)		1976	1482	ersfIhmmHSj@QJSYHQb@iAD_@\_ABQA_@q@gAw@m@KEMGPeAHM\KHYNm@BETmADMB?BB@DUdACNXuAAECCC?ELUlACDOl@IX]JILQdAo@_@e@e@[_@SU_@m@KMEECAKCIDK@OFEHEJ{AbHKd@SdAI`@Gd@Kx@CXKfAA`@?LBNBP??FTBBLDH@F@D?NIDEHILOLUFIPa@Pg@DMDMFWPo@@KNq@ViAD]DIDIHIAOAECC_BqA~@v@^XBB@D@NCNGNABEHGLWhAOp@AJQn@GVELELQf@Q`@GHMTMNIHEDOHEBEFEDIPANEN?\?B?HBRH\DLFNVf@HN^j@VPLDD@B?B?NEzCuHPg@Rc@JS`@w@TWVk@HQb@iAHLH^GN	24	OSRM
WF2 0GU	15	1			2	The Eagle (WF2 0GU)	Alverthorpe Working Mens Club (WF2 0GU)		1341	1006	u{sfIzrjHMa@Ee@lAiATKEWEQISGO_@t@MVIN[h@QVYRSPa@X??EBSPA@YPKHQJYJC?SBY?OAQCYMi@Y_@MkB]s@Oc@Kc@MGAu@YQMKKn@{DD^i@fDPLt@XF@b@Lb@J~Cl@^Lh@XXLPBN@X?RCB?XKPKJIZSRQDC??`@YRQXSPWZi@HOLW^u@FNHRDPDVUJmAhADd@L`@	16	OSRM
WF2 0GU	30	1			2	Alverthorpe Working Mens Club (WF2 0GU)	GJH Commercial Vehicle Services Ltd (WF2 0GU)		2526	1894	k}sfIttjHe@MMBGACGESG]EBSP[RKHQJYJC?SBY?OAQCYMi@Y_@MkB]s@Oc@Kc@MGAu@YQMKKn@{DD^i@fDPLt@XF@b@Lb@J~Cl@AfD?nCAr@?lAA|C?V?XErK?H?hA?|@AjAB`AFr@BRcAb@KBSDYBYBWAeACo@A?{A?M@uBm@?M?EBCH?d@BHDDZ?[?EECI?e@BIDCL?V?T?AtB?L?zAn@@dABV@XCXCREJCbAc@CSGs@CaA@kA?}@?iA?IDsK?Y?W@}C?mA@s@?oC@gD^Lh@XXLPBN@X?RCB?XKPKJIZSRQDCF\DRBFF@LCd@L	31	OSRM
