postcode,placeId,name,latitude,longitude,types,vicinity,source,rating
S1 4JP,osm_1153335612,Oli's Patisserie & Diner,53.3770225,-1.5019575,restaurant,Glossop Road,osm,
S1 4JP,osm_1153335613,Famous Tattoo,53.377017,-1.5017834,tattoo,Glossop Road,osm,
S1 4JP,osm_1153335615,The Archive,53.3769487,-1.5015775,clothes,Glossop Road,osm,
S1 4JP,osm_1153335616,Broomhill Dental Practice,53.3769154,-1.5014709,dentist,Glossop Road,osm,
S1 4JP,osm_1153335617,Sam’s Barber Shop,53.3768797,-1.5013568,hairdresser,Glossop Road,osm,
S1 4JP,osm_1153335618,Fates & Fury,53.3768655,-1.5012896,tattoo,Glossop Road,osm,
S1 4JP,osm_1153383480,Bealby & Jones,53.3801911,-1.4922236,dentist,Northumberland Road,osm,
S1 4JP,osm_1153383484,Charles Clifford Dental Hospital,53.3797212,-1.493634,hospital,,osm,
S1 4JP,osm_1154385149,Burgreave Surgery,53.3928836,-1.4589865,clinic,,osm,
S1 4JP,osm_1155650982,Mr Chai,53.3711055,-1.4771406,cafe,London Road,osm,
S1 4JP,osm_1155880691,Sheaf House Beer Garden,53.3674314,-1.4707473,outdoor_seating,,osm,
S1 4JP,osm_1156280492,Discovery Academy,53.3698793,-1.455423,school,,osm,
S1 4JP,osm_1157522604,Age UK,53.3692239,-1.4946021,charity,Ecclesall Road,osm,
S1 4JP,osm_1157522607,Totally Wicked,53.3691439,-1.4949324,e-cigarette,Ecclesall Road,osm,
S1 4JP,osm_1157522608,The Famous Sheffield Shop,53.3691301,-1.4949889,gift,Ecclesall Road,osm,
S1 4JP,osm_1157522609,Red Rock Cafe,53.3691166,-1.4950451,cafe,Ecclesall Road,osm,
S1 4JP,osm_1157522612,Total Orthodontics,53.3691304,-1.4950069,dentist,Ecclesall Road,osm,
S1 4JP,osm_1157708917,The Lost & Found,53.3690673,-1.4977064,bar,Ecclesall Road,osm,
S1 4JP,osm_1157744135,Candy Shop,53.3675678,-1.4769154,confectionery,Sharrow Lane,osm,
S1 4JP,osm_1157744136,Fox's Wines & Spirits,53.3675382,-1.476988,alcohol,Sharrow Lane,osm,
S1 4JP,osm_1158993591,Karl Benz,53.3719794,-1.4794325,kitchen,Napier Street,osm,
S1 4JP,osm_1162511601,Miller & Carter Sheffield by Innkeeper's Collection,53.380647,-1.4684622,hotel,Surrey Street,osm,
S1 4JP,osm_1162511602,Miller & Carter,53.380651,-1.4684622,restaurant,Surrey Street,osm,
S1 4JP,osm_1164518811,Lokanta,53.3767933,-1.5002205,restaurant,Glossop Road,osm,
S1 4JP,osm_1164518812,Manoj,53.3767476,-1.5001636,tailor,Glossop Road,osm,
S1 4JP,osm_1164518813,S10 Aesthetics and Beauty,53.3767314,-1.5001102,beauty,Glossop Road,osm,
S1 4JP,osm_1164518814,Pavilion,53.3767147,-1.5000554,florist,Glossop Road,osm,
S1 4JP,osm_1164518815,worth,53.3766976,-1.4999992,houseware,Glossop Road,osm,
S1 4JP,osm_1164518816,Nail Decor,53.3766804,-1.4999432,beauty,Glossop Road,osm,
S1 4JP,osm_1164518818,Crumbs,53.376646,-1.4998297,fast_food,Glossop Road,osm,
S1 4JP,osm_1164518819,88 Hair Studio,53.3766226,-1.4997528,hairdresser,Glossop Road,osm,
S1 4JP,osm_1164518821,Nickolas Jewellery,53.376757,-1.5011229,jewelry,,osm,
S1 4JP,osm_1164518822,Revive,53.376777,-1.5010263,beauty,Glossop Road,osm,
S1 4JP,osm_1164518823,La Vaca,53.3767471,-1.5009273,restaurant,Glossop Road,osm,
S1 4JP,osm_1164518824,The Mardy Barber,53.3767189,-1.5008116,hairdresser,Glossop Road,osm,
S1 4JP,osm_1164518827,George,53.3766935,-1.5006711,jewelry,Glossop Road,osm,
S1 4JP,osm_1164518828,Nibbles Pizza,53.3766378,-1.5005215,fast_food,Glossop Road,osm,
S1 4JP,osm_1164644948,Juice Presso,53.383744,-1.4694415,cafe,Campo Lane,osm,
S1 4JP,osm_1164644949,Citadel Barbershop,53.3837496,-1.4693806,hairdresser,Campo Lane,osm,
S1 4JP,osm_1164644950,Chambers Barbershop,53.3837104,-1.4697864,hairdresser,Campo Lane,osm,
S1 4JP,osm_1164644951,Tigs,53.3837027,-1.4699197,cafe,Campo Lane,osm,
S1 4JP,osm_1164886128,United Store,53.3711538,-1.4682883,convenience,Shoreham Street,osm,
S1 4JP,osm_1164886129,Tops Pizza,53.3710357,-1.4683298,fast_food,Shoreham Street,osm,
S1 4JP,osm_1164886132,Computers Direct,53.3708441,-1.4683613,computer,Shoreham Street,osm,
S1 4JP,osm_1164886133,Man Friday,53.3707844,-1.4683735,fast_food,Shoreham Street,osm,
S1 4JP,osm_1164886135,Flame Fusion,53.3706979,-1.4683922,restaurant,Shoreham Street,osm,
