Loading from /tmp/toiletmap_toilets.json...
Loaded 15751 toilets.
Filtered to 82 toilets.
postcode	placeId	name	latitude	longitude	types	vicinity	source	rating
S5 7AU	toiletmap_c6da8914e122982be5e3350d	Millennium Gallery	53.379515811	-1.466943026	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_c998effd1f1bd625a4ea2cdd	Arts Tower	53.382725261	-1.487353402	public_toilet, accessible	Sheffield	toiletmap	
S5 7AU	toiletmap_ccf38bf70ce92bd809073af1	Morrisons, Meadowhead	53.335582005	-1.48257494	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_ceaac03f0286da54a3cd13be	Arundel Building,Sheffield Hallam University	53.377738208	-1.467833519	public_toilet, accessible	Sheffield	toiletmap	
S5 7AU	toiletmap_d116e16e91cb6612162653dc	McDonalds, Greenland Road	53.392169689	-1.409495473	public_toilet, accessible	Sheffield	toiletmap	
S5 7AU	toiletmap_d15223e67941c22c2169ea61	The Green Estate CIC	53.376832578	-1.434938908	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_d2f29f280552de15a1b8a3ad	Fat Cat	53.388554679	-1.471792459	public_toilet, accessible	Sheffield	toiletmap	
S5 7AU	toiletmap_d461aed5971f69b7181841d4	Tesco Abbeydale Road	53.347044858	-1.493201852	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_d5e6e3394de73c05d5af7544	Tesco, Infirmary Road	53.389362484	-1.48266077	public_toilet, accessible	Sheffield	toiletmap	
S5 7AU	toiletmap_dd63901379364880490bd57c	Next (upstairs)	53.412284715	-1.414232254	public_toilet	Sheffield	toiletmap	
S5 7AU	toiletmap_df73fd5b939eced830191187	Forge Dam Park	53.36073066	-1.54582606	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_df78b11516e1e7c5025c718a	Glen Howe Park Toilets	53.444576803	-1.558320522	public_toilet	Sheffield	toiletmap	
S5 7AU	toiletmap_ec4c15926c028d8cea0ca6c4	Arundel Gate Mini Interchange	53.381445693	-1.466350257	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_ec64e02b58649fb2bd102e92	Soowe's café	53.423051107	-1.454969645	public_toilet	Sheffield	toiletmap	
S5 7AU	toiletmap_ee7445e9af76cc2b16ba1af3	Meadowhall Shopping Centre	53.41283653	-1.412816048	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_f392f39afcb69f7da855ef4f	Hillsborough Park Pavilion	53.408170389	-1.503133556	public_toilet, accessible	Sheffield	toiletmap	
S5 7AU	toiletmap_f514cc9a064a4ba512c5ab45	Morrisons (Halfway, Sheffield)	53.325090098	-1.343502402	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_f53e529c4b394849aae96078	Graves Park Toilets	53.338042022	-1.467382908	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_fd0c4fe1b563527e3b817b65	Aldi	53.326916637	-1.468853764	public_toilet, accessible	Sheffield	toiletmap	
